  38 A.S. LIMA      50.90    29.99     12.46    10.93     0.00     -       -         0.04     0.37      -    52.79    31.10
  39 IBITINGA       77.26    43.46      8.35    19.17     0.00     -       -         0.09     0.21      -    57.51    32.35
  40 PROMISSAO      46.19   982.92     12.80    36.69     0.00     -       -         0.35     0.19      -    45.04   958.49
  42 NAVANHANDAVA   83.74   333.29     20.63    26.69     0.00     -       -         0.14     0.28      -    82.11   326.81
  43 TRES IRMAOS    58.12  2004.56     27.81    58.50     0.00     0.00    -         0.39     0.33      -    57.21  1973.15
  45 JUPIA          90.55   818.35    313.80   345.60     0.00     -       -         0.15     0.16      -    87.00   786.25
  46 P. PRIMAVERA   94.43   583.43    375.37   397.18     0.26     -       -        -0.88     1.82      -    90.71   560.41
  47 A.A. LAYDNER   50.82  1608.45      3.37     7.82     0.00     -       -         0.11     0.10      -    50.67  1603.80
  48 PIRAJU           -        -        7.92     7.90     0.00     -       -         0.01     0.01      -      -        -  
  49 CHAVANTES      47.38  1440.83      9.86    10.66     0.00     -       -         0.15     0.07      -    47.35  1439.81
  50 L.N. GARCEZ      -        -       13.50    13.34     0.00     -       -         0.01     0.16      -      -        -  
  51 CANOAS II        -        -       14.00    13.97     0.00     -       -         0.01     0.02      -      -        -  
  52 CANOAS I         -        -       14.48    14.44     0.00     -       -         0.01     0.03      -      -        -  
  53 PARANAPANEMA     -        -        7.90     7.90     0.00     -       -         0.00     0.00      -      -        -  
  57 MAUA           53.87   357.70     13.39     5.18     1.62     -       -         0.04     0.08      -    54.84   364.16
  61 CAPIVARA       42.68  2443.00     29.89    27.89     0.00     -       -         0.01     0.38      -    42.71  2444.61
  62 TAQUARUCU      61.90    85.50     32.34    30.30     0.00     -       -        -0.01     0.05      -    63.35    87.51
  63 ROSANA         87.67   357.31     35.18    62.69     0.00     -       -        -0.11     0.20      -    80.90   329.70
  66 ITAIPU         39.05   667.26    485.83   456.80     0.00     -       -        -0.85     2.08      -    40.68   695.05
  71 STA CLARA PR  100.00   262.00      6.13     8.75     0.56     -       -        -0.01     0.03      -    98.78   258.80
  72 FUNDAO           -        -        9.71     8.54     1.17     -       -         0.00     0.00      -      -        -  
  73 JORDAO         93.35    23.34     11.31     -       29.83     3.77    -         0.00     0.00      -     4.22     1.06
  74 G.B. MUNHOZ    98.78  3758.58     61.17    61.35     0.00     -       -        -0.08     0.55      -    98.76  3757.93
  76 SEGREDO       100.00   388.00     75.00    73.38     1.64     -       -        -0.03     0.01      -   100.00   388.00
  77 SLT.SANTIAGO   95.21  3915.99    113.85    65.52     0.00     -       -        -0.08     0.03      -    96.39  3964.37
  78 SALTO OSORIO   96.65   389.18     69.59    66.44     0.00     -       -        -0.03     0.01      -    97.44   392.35
  82 SALTO CAXIAS   84.61   230.78     90.40   102.09     0.00     -       -        -0.08     0.10      -    80.32   219.08
  83 BAIXO IGUACU   78.91    26.21    106.35   129.68     0.00     -       -        -0.01     0.09      -     8.46     2.81
  86 BARRA GRANDE   97.49  2137.62     21.60    27.71     0.00     -       -        -0.01     0.04      -    97.21  2131.48
  88 SAO ROQUE     100.00   458.95     29.03    26.54    52.75     -       -        -0.04     0.09      -    89.04   408.64
  89 GARIBALDI     100.00    64.00     86.12    44.85    56.79     -       -         0.00     0.04      -    75.68    48.43
  90 CAMPOS NOVOS   91.35   143.42    104.82    47.10    49.33     -       -         0.00     0.01      -    96.69   151.80
  91 MACHADINHO     95.28  1007.11    137.38   110.67    37.31     -       -        -0.04     0.03      -    94.28   996.52
  92 ITA            92.22   735.78    178.87   137.06    41.28     -       -         0.02     0.16      -    92.26   736.13
  93 PASSO FUNDO    93.13  1307.55      6.39     7.23    54.02     -       -        -0.05     0.03      -    89.22  1252.70
  94 MONJOLINHO       -        -       64.39     9.30    55.08     -       -         0.00     0.01      -      -        -  
  95 QUEBRA QUEIX  100.00    26.00      6.57     7.33     1.23     -       -         0.00     0.01      -    92.30    24.00
  97 CASTRO ALVES     -        -       12.44     6.29     6.11     -       -         0.00     0.03      -      -        -  
  98 MONTE CLARO      -        -       21.91    20.22     1.61     -       -         0.00     0.08      -      -        -  
  99 14 DE JULHO      -        -       23.52    20.96     2.52     -       -         0.00     0.04      -      -        -  
 101 SAO JOSE         -        -       33.09    23.63     9.42     -       -        -0.01     0.05      -      -        -  
 102 PASSO S JOAO     -        -       34.50    26.47     8.03     -       -         0.00     0.00      -      -        -  
 103 FOZ CHAPECO    45.51    33.81    261.76   166.74    58.47     -       -         0.00     0.08      -    94.59    70.28
 107 EDGARD SOUZA   32.39     0.29      6.74     -        8.96     0.00    -         0.00    -1.93      -     0.00     0.00
 108 TRAICAO         0.00     0.00      0.00     -        0.00     -       -         0.00    -         0.00   0.00     0.00
 109 PEDREIRA        0.00     0.00      0.00     -        0.00     -       -         0.00    -         0.00   0.00     0.00
 110 ERNESTINA     100.00   238.00      2.85     -       64.80     -       -        -0.02     0.00      -    73.98   176.07
 111 PASSO REAL     69.25  2324.72     84.82    18.77   188.59     -       -        -0.01     0.03      -    65.60  2202.17
 112 JACUI          25.21     6.15    201.00     0.00   202.53     -       -         0.00     0.00      -    18.95     4.62
 113 ITAUBA         82.45   130.44    198.99    38.77   132.45     -       -         0.00     0.01      -   100.00   158.20
 114 D. FRANCISCA  100.00    62.56    168.13    30.96   137.17     -       -        -0.01     0.01      -   100.00    62.56
 115 G.P. SOUZA     59.16    92.29      1.56     0.21     0.00     -       -         0.00     0.01      -    60.02    93.63
 117 GUARAPIRANGA   60.00   113.51      1.12     -        0.00     -       -         0.01     0.89      -    60.12   113.74
 118 BILLINGS       60.00   679.00      1.38     -        0.00     0.52    -         0.00     0.68     0.00  60.02   679.18
 119 HENRY BORDEN     -        -        0.52     0.52     0.00     -       -         0.00    -          -      -        -  
 120 JAGUARI        43.56   345.43      0.60     3.33     0.00     -       -         0.01     0.55      -    43.14   342.13
 121 PARAIBUNA      54.33  1432.14      3.20     6.41     0.00     -       -         0.03     0.02      -    54.21  1428.88
 122 SANTA BRANCA   33.99   104.69      6.84     4.50     0.00     -       -         0.00     0.00      -    34.75   107.03
 123 FUNIL          26.59   160.87     17.02     6.71     0.00     -       -         0.01     0.51      -    28.21   170.66
 124 LAJES          60.00   267.20      0.26     -        0.48     5.70    -         0.00     0.00      -    58.67   261.30
 125 STA CECILIA      -        -       16.42     -        6.13     -       -         0.00     0.07   -10.21    -        -  
 126 PICADA           -        -        1.12     1.03     0.09     -       -         0.00     0.01      -      -        -  
 127 SOBRAGI          -        -        2.48     2.24     0.17     -       -         0.00     0.07      -      -        -  
 129 SIMPLICIO        -        -       13.40     5.51     0.00     -       -         0.01     7.89      -      -        -  
 130 ILHA POMBOS      -        -        6.27    13.99     0.00     -       -         0.00    -7.72      -      -        -  
 131 NILO PECANHA     -        -        4.67     4.67     0.00     -       -         0.00     0.00      -      -        -  
 133 P. PASSOS        -        -       10.37    10.37     0.00     -       -         0.00     0.00      -      -        -  
 134 SALTO GRANDE     -        -        2.07     1.74     0.30     -       -         0.01     0.03      -      -        -  
 135 P. ESTRELA       -        -        2.08     2.07     0.00     -       -         0.00     0.00      -      -        -  
 139 CANDONGA         -        -        3.28     3.19     0.00     -       -         0.00     0.09      -      -        -  
 141 BAGUARI          -        -       11.19    10.91     0.00     -       -         0.01     0.27      -      -        -  
 143 AIMORES          -        -       13.04    11.45     1.38     -       -         0.00     0.20      -      -        -  
 144 MASCARENHAS      -        -       15.46    15.30     0.00     -       -         0.00     0.16      -      -        -  
 145 SUICA            -        -        0.26     0.17     0.08     -       -         0.00     0.01      -      -        -  
 146 FONTES C         -        -        0.48     0.00     0.00     -       -         0.00     0.48      -      -        -  
 147 FONTES AB        -        -        5.70     2.89     2.81     -       -         0.00    -          -      -        -  
 148 IRAPE          57.96  2142.19      1.30     8.08     0.00     -       -         0.19     0.03      -    57.77  2135.18
 153 SAO DOMINGOS   30.70     4.56      6.05     4.11     0.00     -       -         0.00     0.03      -    43.52     6.46
 154 ITAPEBI        29.71    20.29     10.37     5.89     0.00     -       -         0.03     0.31      -    35.78    24.43
 155 RETIRO BAIXO   22.21     9.08      1.56     2.39     0.00     -       -         0.02     0.14      -    19.78     8.09
 156 TRES MARIAS    60.42  9230.97      6.51    36.29     0.00     -       -         0.89     0.36      -    60.22  9199.94
 162 QUEIMADO       41.96   193.75      0.69     1.38     0.09     -       -         0.05     0.05      -    41.77   192.87
 169 SOBRADINHO     44.99 12898.18     68.69    69.12     0.00     -       -        22.73     5.20      -    44.89 12869.82
 172 ITAPARICA      86.73  3077.18     72.27    74.10     0.00     -       -         5.80     9.05      -    86.26  3060.51
 173 MOXOTO           -        -       69.45    18.18     0.00    50.43    -         0.57     0.27      -      -        -  
 174 P.AFONSO 123     -        -       18.18    18.14     0.00     -       -         0.03     0.01      -      -        -  
 175 P.AFONSO 4       -        -       50.43    49.69     0.00     -       -         0.74    -          -      -        -  
 178 XINGO          30.70    19.03     66.32    69.68     0.00     -       -         0.44     0.03      -    24.51    15.20
 180 TOCOS          60.00     0.66      0.35     -        0.00     0.09    -         0.00     0.00      -    83.07     0.92
 181 SANTANA        60.00     4.64     10.39     -        0.00     -       -         0.00     0.00     2.92 100.00     7.73
 182 VIGARIO        60.00     6.60      7.29     -        4.67     0.00    -         0.00     0.00     7.29  83.84     9.23
 185 BARRA BRAUNA     -        -        3.46     3.34     0.00     -       -         0.01     0.11      -      -        -  
 189 P. CAVALO      69.93   658.74      0.95     0.26     0.00     -       -         0.00     1.16      -    69.88   658.27
 190 B. ESPERANCA   48.78   932.67     13.65    22.88     0.00     -       -         0.89     0.40      -    48.23   922.16
 192 GUILMAN-AMOR     -        -        1.12     1.00     0.07     -       -         0.00     0.05      -      -        -  
 193 SA CARVALHO      -        -        1.15     1.15     0.00     -       -         0.00     0.00      -      -        -  
 195 JAURU            -        -        5.27     5.17     0.09     -       -         0.00     0.01      -      -        -  
 196 GUAPORE          -        -        2.51     2.24     0.26     -       -         0.00     0.00      -      -        -  
 203 CORUMBA III    35.80    94.15     12.85     9.96     0.00     -       -         0.09     0.03      -    36.86    96.94
 204 CACH.CALDEIR     -        -       21.00    20.98     0.00     -       -         0.01    -          -      -        -  
 215 SALTO PILAO      -        -        8.12     7.48     0.62     -       -         0.00     0.02      -      -        -  
 217 ROSAL            -        -        0.86     0.66     0.18     -       -         0.00     0.02      -      -        -  
 225 SLT APIACAS      -        -        1.56     1.53     0.00     -       -         0.00     0.03      -      -        -  
 227 SINOP          40.02   823.93     28.60    35.68     3.46     -       -         0.37     0.33      -    39.47   812.70
 228 COLIDER          -        -       41.82    41.68     0.00     -       -         0.14     0.00      -      -        -  
 229 TELES PIRES      -        -       58.10    57.16     0.00     -       -         0.03     0.92      -      -        -  
 230 SAO MANOEL       -        -       57.28    58.17     0.00     -       -         0.01    -0.91      -      -        -  
 241 SLT VERDINHO     -        -        3.70     3.67     0.00     -       -         0.03     0.00      -      -        -  
 249 OURINHOS         -        -       11.83    11.82     0.00     -       -         0.00     0.00      -      -        -  
 251 SERRA MESA     58.57 25331.53      4.75    25.92     0.00     -       -         2.52     0.45      -    58.51 25307.39
 252 CANA BRAVA     91.60   358.16     30.15    26.62     0.00     -       -         0.27     0.01      -    92.43   361.41
 253 SAO SALVADOR   53.19    31.45     27.47    19.86     0.00     -       -         0.20     0.01      -    65.71    38.85
 257 PEIXE ANGIC    47.77   252.37     27.18    31.93     0.00     -       -         0.51     0.19      -    46.74   246.92
 261 LAJEADO        31.64   152.62    110.94    50.55     0.00     -       -         0.97     0.19      -    43.92   211.85
 262 SALTO            -        -        5.10     5.03     0.00     -       -         0.04     0.03      -      -        -  
 267 ESTREITO TOC   91.02  2176.18     80.94    90.65     0.00     -       -         1.31     0.16      -    90.55  2165.01
 272 CURUA-UNA      59.10   277.18     11.06     0.70     0.00     -       -         0.08     0.01      -    61.29   287.45
 275 TUCURUI        71.96 28051.45    138.55   412.07     0.00     -       -         2.49     2.01      -    71.25 27773.44
 276 RONDON II      35.90   102.72      5.44     0.92     0.73     -       -         0.00     0.03      -    37.22   106.48
 277 BALBINA        75.07  7727.95     40.61    53.44     0.00     -       -        -0.45     0.00      -    74.95  7715.57
 278 MANSO          61.34  1810.14      2.51    10.01     0.00     -       -         0.27     0.03      -    61.08  1802.35
 279 SAMUEL         10.90   277.97      1.73    14.06     0.00     -       -        -0.02     0.03      -    10.42   265.63
 280 COARACY NUNE     -        -       21.49    21.49     0.00     -       -        -0.01    -          -      -        -  
 281 PONTE PEDRA      -        -        4.75     3.85     0.84     -       -         0.00     0.07      -      -        -  
 283 STA CLARA MG     -        -        0.43     0.33     0.00     -       -         0.00     0.10      -      -        -  
 284 FERREIRA GOM     -        -       21.92    21.92     0.00     -       -         0.00     0.00      -      -        -  
 285 JIRAU           0.00     0.00    424.74   419.60     0.00     -       -        -0.35     5.49      -     0.00     0.00
 286 STO ANT JARI    2.43     0.70     33.96    27.45     3.89     -       -        -0.01     0.08      -    11.28     3.25
 287 STO ANTONIO     0.00     0.00    419.89   417.15     3.46     -       -        -0.71     0.00      -     0.00     0.00
 288 BELO MONTE       -        -       26.10    25.92     0.00     -       -         0.18    -          -      -        -  
 290 ESPORA         23.06    31.82      4.15     2.52     0.00     -       -         0.02     0.01      -    24.22    33.43
 304 ITIQUIRA I       -        -        3.11     3.08     0.00     -       -         0.00     0.03      -      -        -  
 305 ITIQUIRA II      -        -        3.08     3.08     0.00     -       -         0.00    -          -      -        -  
 309 JURUENA          -        -       10.80    10.60     0.00     -       -         0.00     0.20      -      -        -  
 310 DARDANELOS       -        -        3.72     1.88     1.81     -       -         0.00     0.02      -      -        -  
 311 CACU             -        -        4.23     4.18     0.00     -       -         0.01     0.04      -      -        -  
 312 B. COQUEIROS     -        -        4.35     1.45     2.89     -       -         0.02     0.00      -      -        -  
 314 PIMENTAL        0.00     0.00     66.70    39.74     0.00    26.10    -         0.00     0.67      -     0.18     0.19
 315 FOZ R. CLARO     -        -        4.67     4.65     0.00     -       -         0.01     0.01      -      -        -  

2 - AFLUENCIAS E DEFLUENCIAS POR USINA (m3/s):

 IND     NOME         VAZ.      VAZ.      VAZ.      VAZ.      VAZ.       VAZ.     VAZ.       DEF.      DEF      TURB.
                      AFLU      TURB      VERT      DESV      DESC       ALTE     BOMB       MIN       MAX       MAX
----------------------------------------------------------------------------------------------------------------------
   1 CAMARGOS           37.     37.52        0.       -         -        0.20       -        0.00      0.00    213.39
   2 ITUTINGA           38.     37.51        0.       -         -        0.00       -        0.00      0.00    241.00
   4 FUNIL-GRANDE      109.    107.50        0.       -         -        0.70       -        0.00      0.00    382.00
   6 FURNAS            294.    263.39        0.       -         -        3.20       -        0.00      0.00   1489.96
   7 M. DE MORAES      387.    456.09        0.       -         -        0.60       -        0.00      0.00   1256.23
   8 ESTREITO          475.    284.69        0.       -         -        0.10       -        0.00      0.00   1589.93
   9 JAGUARA           361.    242.25        0.       -         -        0.00       -        0.00      0.00   1076.00
  10 IGARAPAVA         425.    424.23        0.       -         -        0.10       -        0.00      0.00   1373.07
  11 VOLTA GRANDE      459.    581.46        0.       -         -        0.80       -        0.00      0.00   1588.00
  12 P. COLOMBIA       537.    516.95        0.       -         -        4.50       -        0.00      0.00   1401.00
  14 CACONDE            22.     32.00        0.       -         -        0.40       -        0.00      0.00     89.00
  15 E. DA CUNHA        47.     47.19        0.       -         -        0.30       -        0.00      0.00    144.00
  16 A.S.OLIVEIRA       47.     46.71        0.       -         -        0.00       -        0.00      0.00     86.00
  17 MARIMBONDO        661.    651.99        0.       -         -       20.20       -        0.00      0.00   2548.63
  18 A. VERMELHA       690.   1195.98        0.       -         -        5.60       -        0.00      0.00   2836.50
  20 BATALHA            14.     65.50        0.       -         -        1.00       -        0.00      0.00    153.98
  21 SERRA FACAO        55.    100.66        0.       -         -        0.30       -        0.00      0.00    326.54
  24 EMBORCACAO        140.     48.00        0.       -         -        8.30       -        0.00      0.00    989.46
  25 NOVA PONTE         69.    116.87        0.       -         -        1.70       -        0.00      0.00    591.00
  26 MIRANDA           149.    127.83        0.       -         -        0.30       -        0.00      0.00    696.00
  27 CAPIM BRANC1      197.    169.46        7.       -         -        0.40       -        0.00      0.00    501.00
  28 CAPIM BRANC2      195.    191.38        0.       -         -        1.00       -        0.00      0.00    537.00
  29 CORUMBA IV         18.    149.59        0.       -         -        1.20       -        0.00      0.00    234.00
  30 CORUMBA I         146.    149.70        0.       -         -        1.70       -        0.00      0.00    542.81
  31 ITUMBIARA         591.    519.77        0.       -         -        8.20       -        0.00      0.00   3045.92
  32 CACH.DOURADA      776.    774.40        0.       -         -        1.00       -        0.00      0.00   2351.00
  33 SAO SIMAO         985.   1251.56        0.       -         -       18.50       -        0.00      0.00   2141.66
  34 I. SOLTEIRA      2830.   2991.89        0.    217.71       -        3.70       -        0.00      0.00   9109.00
  37 BARRA BONITA      164.    274.17        0.       -         -       49.20       -        0.00      0.00    742.87
  38 A.S. LIMA         144.    126.49        0.       -         -        4.30       -        0.00      0.00    776.73
  39 IBITINGA           97.    221.88        0.       -         -        2.40       -        0.00      0.00    735.00
  40 PROMISSAO         148.    424.70        0.       -         -        2.20       -        0.00      0.00   1298.85
  42 NAVANHANDAVA      239.    308.91        0.       -         -        3.20       -        0.00      0.00   1389.00
  43 TRES IRMAOS       322.    677.08        0.      0.00       -        3.80       -        0.00      0.00   1760.00
  45 JUPIA            3632.   4000.00        0.       -         -        1.80       -        0.00      0.00   7084.39
  46 P. PRIMAVERA     4345.   4597.00        3.       -         -       21.10       -        0.00      0.00   9100.00
  47 A.A. LAYDNER       39.     90.50        0.       -         -        1.10       -        0.00      0.00    368.00
  48 PIRAJU             92.     91.45        0.       -         -        0.10       -        0.00      0.00    354.00
  49 CHAVANTES         114.    123.36        0.       -         -        0.80       -        0.00      0.00    629.83
  50 L.N. GARCEZ       156.    154.38        0.       -         -        1.80       -        0.00      0.00    564.00
  51 CANOAS II         162.    161.69        0.       -         -        0.20       -        0.00      0.00    545.47
  52 CANOAS I          168.    167.14        0.       -         -        0.30       -        0.00      0.00    555.00
  53 PARANAPANEMA       91.     91.40        0.       -         -        0.00       -        0.00      0.00    181.12
  57 MAUA              155.     60.00       19.       -         -        0.90       -        0.00      0.00    335.75
  61 CAPIVARA          346.    322.84        0.       -         -        4.40       -        0.00      0.00   1494.44
  62 TAQUARUCU         374.    350.69        0.       -         -        0.60       -        0.00      0.00   2575.00
  63 ROSANA            407.    725.57        0.       -         -        2.30       -        0.00      0.00   2476.00
  66 ITAIPU           5623.   5287.05        0.       -         -       24.10       -        0.00      0.00  13240.00
  71 STA CLARA PR       71.    101.29        6.       -         -        0.40       -        0.00      0.00    158.00
  72 FUNDAO            112.     98.83       14.       -         -        0.00       -        0.00      0.00    150.00
  73 JORDAO            131.       -        345.     43.59       -        0.00       -        0.00      0.00       -  
  74 G.B. MUNHOZ       708.    710.05        0.       -         -        6.40       -        0.00      0.00   1373.23
  76 SEGREDO           868.    849.35       19.       -         -        0.10       -        0.00      0.00   1232.61
  77 SLT.SANTIAGO     1318.    758.31        0.       -         -        0.30       -        0.00      0.00   1540.00
  78 SALTO OSORIO      805.    768.96        0.       -         -        0.10       -        0.00      0.00   1910.00
  82 SALTO CAXIAS     1046.   1181.62        0.       -         -        1.10       -        0.00      0.00   2178.20
  83 BAIXO IGUACU     1231.   1500.94        0.       -         -        1.00       -        0.00      0.00   2508.38
  86 BARRA GRANDE      250.    320.68        0.       -         -        0.50       -        0.00      0.00    504.00
  88 SAO ROQUE         336.    307.17      611.       -         -        1.00       -        0.00      0.00    330.00
  89 GARIBALDI         997.    519.09      657.       -         -        0.50       -        0.00      0.00    519.09
  90 CAMPOS NOVOS     1213.    545.12      571.       -         -        0.10       -        0.00      0.00    545.12
  91 MACHADINHO       1590.   1280.87      432.       -         -        0.40       -        0.00      0.00   1296.00
  92 ITA              2070.   1586.36      478.       -         -        1.90       -        0.00      0.00   1587.21
  93 PASSO FUNDO        74.     83.73      625.       -         -        0.40       -        0.00      0.00    104.00
  94 MONJOLINHO        745.    107.64      637.       -         -        0.10       -        0.00      0.00    156.00
  95 QUEBRA QUEIX       76.     84.84       14.       -         -        0.10       -        0.00      0.00    117.00
  97 CASTRO ALVES      144.     72.84       71.       -         -        0.40       -        0.00      0.00     82.89
  98 MONTE CLARO       254.    234.05       19.       -         -        0.90       -        0.00      0.00    376.00
  99 14 DE JULHO       272.    242.60       29.       -         -        0.50       -        0.00      0.00    346.00
 101 SAO JOSE          383.    273.50      109.       -         -        0.60       -        0.00      0.00    282.00
 102 PASSO S JOAO      399.    306.42       93.       -         -        0.00       -        0.00      0.00    332.00
 103 FOZ CHAPECO      3030.   1929.88      677.       -         -        0.90       -        0.00      0.00   1929.88
 107 EDGARD SOUZA       78.       -        104.      0.00       -      -22.30       -        0.00      0.00       -  
 108 TRAICAO             0.       -          0.       -         -         -        0.00      0.00      0.00       -  
 109 PEDREIRA            0.       -          0.       -         -         -        0.00      0.00      0.00       -  
 110 ERNESTINA          33.       -        750.       -         -        0.00       -        0.00      0.00       -  
 111 PASSO REAL        982.    217.29     2183.       -         -        0.30       -        0.00      0.00    228.00
 112 JACUI            2326.      0.00     2344.       -         -        0.00       -        0.00      0.00      0.00
 113 ITAUBA           2303.    448.77     1533.       -         -        0.10       -        0.00      0.00    456.21
 114 D. FRANCISCA     1946.    358.34     1588.       -         -        0.10       -        0.00      0.00    358.34
 115 G.P. SOUZA         18.      2.40        0.       -         -        0.10       -        0.00      0.00     40.00
 117 GUARAPIRANGA       13.       -          0.       -         -       10.30       -        0.00      0.00       -  
 118 BILLINGS           16.       -          0.      6.00       -        7.90      0.00      0.00      0.00       -  
 119 HENRY BORDEN        6.      6.00        0.       -         -         -         -        0.00      0.00    145.00
 120 JAGUARI             7.     38.60        0.       -         -        6.40       -        0.00      0.00     64.00
 121 PARAIBUNA          37.     74.17        0.       -         -        0.20       -        0.00      0.00    127.82
 122 SANTA BRANCA       79.     52.12        0.       -         -        0.00       -        0.00      0.00    128.74
 123 FUNIL             197.     77.69        0.       -         -        5.90       -        0.00      0.00    327.99
 124 LAJES               3.       -          6.     65.96       -        0.00       -        0.00      0.00       -  
 125 STA CECILIA       190.       -         71.       -         -        0.80   -118.21      0.00      0.00       -  
 126 PICADA             13.     11.89        1.       -         -        0.10       -        0.00      0.00     43.99
 127 SOBRAGI            29.     25.91        2.       -         -        0.80       -        0.00      0.00     87.00
 129 SIMPLICIO         155.     63.75        0.       -         -       91.30       -        0.00      0.00    205.49
 130 ILHA POMBOS        73.    161.88        0.       -         -      -89.40       -        0.00      0.00    486.40
 131 NILO PECANHA       54.     54.05        0.       -         -        0.00       -        0.00      0.00    139.76
 133 P. PASSOS         120.    120.00        0.       -         -        0.00       -        0.00      0.00    310.00
 134 SALTO GRANDE       24.     20.12        3.       -         -        0.30       -        0.00      0.00     44.53
 135 P. ESTRELA         24.     24.01        0.       -         -        0.00       -        0.00      0.00    254.00
 139 CANDONGA           38.     36.96        0.       -         -        1.00       -        0.00      0.00    318.00
 141 BAGUARI           129.    126.30        0.       -         -        3.10       -        0.00      0.00    896.00
 143 AIMORES           151.    132.55       16.       -         -        2.30       -        0.00      0.00    884.00
 144 MASCARENHAS       179.    177.09        0.       -         -        1.80       -        0.00      0.00    909.00
 145 SUICA               3.      1.93        1.       -         -        0.10       -        0.00      0.00     11.33
 146 FONTES C            6.      0.00        0.       -         -        5.50       -        0.00      0.00      0.00
 147 FONTES AB          66.     33.47       32.       -         -         -         -        0.00      0.00     33.47
 148 IRAPE              15.     93.57        0.       -         -        0.40       -        0.00      0.00    274.24
 153 SAO DOMINGOS       70.     47.52        0.       -         -        0.40       -        0.00      0.00    162.00
 154 ITAPEBI           120.     68.12        0.       -         -        3.60       -        0.00      0.00    454.00
